[ 1341.780731] Adding Module 
[ 1341.780734] task name : systemd , state : 1 , pid : 1 
[ 1341.780981] task name : VGAuthService , state : 1 , pid : 642 
[ 1341.780982] task name : accounts-daemon , state : 1 , pid : 644 
[ 1341.780983] task name : systemd-logind , state : 1 , pid : 646 
[ 1341.780984] task name : cupsd , state : 1 , pid : 650 
[ 1341.780985] task name : cron , state : 1 , pid : 656 
[ 1341.780985] task name : NetworkManager , state : 1 , pid : 664 
[ 1341.780987] task name : wpa_supplicant , state : 1 , pid : 673 
[ 1341.780988] task name : snapd , state : 1 , pid : 678 
[ 1341.780989] task name : polkitd , state : 1 , pid : 724 
[ 1341.780990] task name : avahi-daemon , state : 1 , pid : 745 
[ 1341.780991] task name : cups-browsed , state : 1 , pid : 748 
[ 1341.780992] task name : dbus , state : 1 , pid : 764 
[ 1341.780993] task name : gdm3 , state : 1 , pid : 786 
[ 1341.780993] task name : gdm-session-wor , state : 1 , pid : 790 
[ 1341.780994] task name : dhclient , state : 1 , pid : 793 
[ 1341.780995] task name : whoopsie , state : 1 , pid : 829 
[ 1341.780996] task name : kerneloops , state : 1 , pid : 840 
[ 1341.780997] task name : kerneloops , state : 1 , pid : 846 
[ 1341.780998] task name : systemd , state : 1 , pid : 887 
[ 1341.781020] task name : (sd-pam) , state : 1 , pid : 888 
[ 1341.781021] task name : gdm-wayland-ses , state : 1 , pid : 900 
[ 1341.781022] task name : dbus-daemon , state : 1 , pid : 902 
[ 1341.781023] task name : gnome-session-b , state : 1 , pid : 904 
[ 1341.781024] task name : gnome-shell , state : 1 , pid : 910 
[ 1341.781025] task name : upowerd , state : 1 , pid : 917 
[ 1341.781026] task name : Xwayland , state : 1 , pid : 930 
[ 1341.781027] task name : at-spi-bus-laun , state : 1 , pid : 933 
[ 1341.781028] task name : dbus-daemon , state : 1 , pid : 938 
[ 1341.781029] task name : at-spi2-registr , state : 1 , pid : 940 
[ 1341.781030] task name : pulseaudio , state : 1 , pid : 943 
[ 1341.781031] task name : rtkit-daemon , state : 1 , pid : 945 
[ 1341.781032] task name : ibus-daemon , state : 1 , pid : 957 
[ 1341.781033] task name : ibus-dconf , state : 1 , pid : 960 
[ 1341.781034] task name : ibus-x11 , state : 1 , pid : 964 
[ 1341.781035] task name : ibus-portal , state : 1 , pid : 967 
[ 1341.781035] task name : boltd , state : 1 , pid : 980 
[ 1341.781037] task name : packagekitd , state : 1 , pid : 981 
[ 1341.781037] task name : gsd-xsettings , state : 1 , pid : 982 
[ 1341.781039] task name : gsd-a11y-settin , state : 1 , pid : 988 
[ 1341.781039] task name : gsd-clipboard , state : 1 , pid : 992 
[ 1341.781040] task name : gsd-color , state : 1 , pid : 995 
[ 1341.781041] task name : gsd-datetime , state : 1 , pid : 996 
[ 1341.781042] task name : gsd-housekeepin , state : 1 , pid : 998 
[ 1341.781043] task name : gsd-keyboard , state : 1 , pid : 1000 
[ 1341.781044] task name : gsd-media-keys , state : 1 , pid : 1004 
[ 1341.781045] task name : gsd-mouse , state : 1 , pid : 1005 
[ 1341.781046] task name : gsd-power , state : 1 , pid : 1006 
[ 1341.781047] task name : gsd-print-notif , state : 1 , pid : 1011 
[ 1341.781048] task name : gsd-rfkill , state : 1 , pid : 1012 
[ 1341.781049] task name : gsd-screensaver , state : 1 , pid : 1013 
[ 1341.781050] task name : gsd-sharing , state : 1 , pid : 1016 
[ 1341.781050] task name : gsd-smartcard , state : 1 , pid : 1021 
[ 1341.781051] task name : gsd-sound , state : 1 , pid : 1026 
[ 1341.781052] task name : gsd-wacom , state : 1 , pid : 1029 
[ 1341.781053] task name : ibus-engine-sim , state : 1 , pid : 1039 
[ 1341.781054] task name : colord , state : 1 , pid : 1069 
[ 1341.781056] task name : gdm-session-wor , state : 1 , pid : 1086 
[ 1341.781056] task name : systemd , state : 1 , pid : 1089 
[ 1341.781057] task name : (sd-pam) , state : 1 , pid : 1090 
[ 1341.781058] task name : gnome-keyring-d , state : 1 , pid : 1103 
[ 1341.781059] task name : gdm-x-session , state : 1 , pid : 1107 
[ 1341.781060] task name : Xorg , state : 1 , pid : 1109 
[ 1341.781061] task name : dbus-daemon , state : 1 , pid : 1116 
[ 1341.781062] task name : gnome-session-b , state : 1 , pid : 1120 
[ 1341.781062] task name : ssh-agent , state : 1 , pid : 1197 
[ 1341.781063] task name : at-spi-bus-laun , state : 1 , pid : 1199 
[ 1341.781064] task name : dbus-daemon , state : 1 , pid : 1204 
[ 1341.781065] task name : at-spi2-registr , state : 1 , pid : 1207 
[ 1341.781066] task name : gnome-shell , state : 1 , pid : 1224 
[ 1341.781067] task name : gvfsd , state : 1 , pid : 1230 
[ 1341.781068] task name : gvfsd-fuse , state : 1 , pid : 1235 
[ 1341.781069] task name : pulseaudio , state : 1 , pid : 1246 
[ 1341.781070] task name : ibus-daemon , state : 1 , pid : 1256 
[ 1341.781071] task name : ibus-dconf , state : 1 , pid : 1260 
[ 1341.781072] task name : ibus-x11 , state : 1 , pid : 1262 
[ 1341.781073] task name : ibus-portal , state : 1 , pid : 1265 
[ 1341.781074] task name : gnome-shell-cal , state : 1 , pid : 1275 
[ 1341.781075] task name : evolution-sourc , state : 1 , pid : 1282 
[ 1341.781076] task name : dconf-service , state : 1 , pid : 1288 
[ 1341.781077] task name : gvfs-udisks2-vo , state : 1 , pid : 1291 
[ 1341.781078] task name : gvfs-gphoto2-vo , state : 1 , pid : 1298 
[ 1341.781079] task name : gvfs-afc-volume , state : 1 , pid : 1302 
[ 1341.781080] task name : gvfs-mtp-volume , state : 1 , pid : 1307 
[ 1341.781081] task name : gvfs-goa-volume , state : 1 , pid : 1311 
[ 1341.781082] task name : goa-daemon , state : 1 , pid : 1315 
[ 1341.781083] task name : goa-identity-se , state : 1 , pid : 1327 
[ 1341.781084] task name : gsd-mouse , state : 1 , pid : 1333 
[ 1341.781085] task name : gsd-power , state : 1 , pid : 1334 
[ 1341.781086] task name : gsd-print-notif , state : 1 , pid : 1336 
[ 1341.781087] task name : gsd-rfkill , state : 1 , pid : 1338 
[ 1341.781087] task name : gsd-screensaver , state : 1 , pid : 1340 
[ 1341.781088] task name : gsd-sharing , state : 1 , pid : 1341 
[ 1341.781089] task name : gsd-smartcard , state : 1 , pid : 1343 
[ 1341.781090] task name : gsd-sound , state : 1 , pid : 1348 
[ 1341.781091] task name : gsd-wacom , state : 1 , pid : 1350 
[ 1341.781092] task name : gsd-xsettings , state : 1 , pid : 1355 
[ 1341.781093] task name : gsd-a11y-settin , state : 1 , pid : 1365 
[ 1341.781094] task name : gsd-color , state : 1 , pid : 1377 
[ 1341.781095] task name : gsd-datetime , state : 1 , pid : 1378 
[ 1341.781096] task name : gsd-clipboard , state : 1 , pid : 1379 
[ 1341.781096] task name : gsd-keyboard , state : 1 , pid : 1380 
[ 1341.781097] task name : gsd-media-keys , state : 1 , pid : 1381 
[ 1341.781098] task name : gsd-housekeepin , state : 1 , pid : 1382 
[ 1341.781099] task name : gsd-printer , state : 1 , pid : 1401 
[ 1341.781100] task name : nautilus-deskto , state : 1 , pid : 1431 
[ 1341.781101] task name : vmtoolsd , state : 1 , pid : 1432 
[ 1341.781102] task name : gnome-software , state : 1 , pid : 1436 
[ 1341.781103] task name : gsd-disk-utilit , state : 1 , pid : 1441 
[ 1341.781104] task name : evolution-calen , state : 1 , pid : 1456 
[ 1341.781105] task name : ibus-engine-sim , state : 1 , pid : 1466 
[ 1341.781106] task name : gvfsd-trash , state : 1 , pid : 1476 
[ 1341.781107] task name : evolution-calen , state : 1 , pid : 1510 
[ 1341.781108] task name : evolution-addre , state : 1 , pid : 1523 
[ 1341.781108] task name : evolution-addre , state : 1 , pid : 1532 
[ 1341.781109] task name : gvfsd-metadata , state : 1 , pid : 1546 
[ 1341.781110] task name : fwupd , state : 1 , pid : 1552 
[ 1341.781111] task name : nautilus , state : 1 , pid : 1582 
[ 1341.781112] task name : update-notifier , state : 1 , pid : 1624 
[ 1341.781113] task name : zeitgeist-daemo , state : 1 , pid : 1640 
[ 1341.781114] task name : zeitgeist-fts , state : 1 , pid : 1648 
[ 1341.781115] task name : deja-dup-monito , state : 1 , pid : 2104 
[ 1341.781116] task name : eog , state : 1 , pid : 3685 
[ 1341.781117] task name : sublime_text , state : 1 , pid : 3709 
[ 1341.781118] task name : plugin_host , state : 1 , pid : 3722 
[ 1341.781119] task name : evince , state : 1 , pid : 3737 
[ 1341.781120] task name : evinced , state : 1 , pid : 3743 
[ 1341.781121] task name : gnome-terminal- , state : 1 , pid : 3755 
[ 1341.781122] task name : bash , state : 1 , pid : 3765 
[ 1341.781122] task name : sudo , state : 1 , pid : 4314 
[ 1341.781123] task name : insmod , state : 0 , pid : 4315 
[ 1485.081058] Removing Module 
[ 2406.730990] e1000: ens33 NIC Link is Down
[ 2408.515016] IPv6: ADDRCONF(NETDEV_UP): ens33: link is not ready
[ 2408.759062] e1000: ens33 NIC Link is Up 1000 Mbps Full Duplex, Flow Control: None
[ 2408.769525] IPv6: ADDRCONF(NETDEV_CHANGE): ens33: link becomes ready
[ 3335.165333] Adding Module 
[ 3335.165338] name: systemd, pid: [1], state: 1
[ 3335.165345] name: systemd-journal, pid: [311], state: 1
[ 3335.165348] name: systemd-udevd, pid: [330], state: 2
[ 3335.165350] name: vmware-vmblock-, pid: [382], state: 1
[ 3335.165352] name: vmtoolsd, pid: [385], state: 1
[ 3335.165354] name: systemd-resolve, pid: [426], state: 1
[ 3335.165356] name: systemd-timesyn, pid: [428], state: 1
[ 3335.165358] name: rsyslogd, pid: [627], state: 1
[ 3335.165361] name: udisksd, pid: [629], state: 1
[ 3335.165363] name: dbus-daemon, pid: [630], state: 1
[ 3335.165365] name: acpid, pid: [637], state: 1
[ 3335.165367] name: networkd-dispat, pid: [638], state: 1
[ 3335.165369] name: ModemManager, pid: [639], state: 1
[ 3335.165371] name: avahi-daemon, pid: [640], state: 1
[ 3335.165373] name: avahi-daemon, pid: [745], state: 1
[ 3335.165375] name: VGAuthService, pid: [642], state: 1
[ 3335.165378] name: accounts-daemon, pid: [644], state: 1
[ 3335.165380] name: systemd-logind, pid: [646], state: 1
[ 3335.165382] name: cron, pid: [656], state: 1
[ 3335.165384] name: NetworkManager, pid: [664], state: 1
[ 3335.165386] name: wpa_supplicant, pid: [673], state: 1
[ 3335.165389] name: snapd, pid: [678], state: 1
[ 3335.165391] name: polkitd, pid: [724], state: 1
[ 3335.165393] name: gdm3, pid: [786], state: 1
[ 3335.165395] name: gdm-session-wor, pid: [790], state: 1
[ 3335.165397] name: gdm-wayland-ses, pid: [900], state: 1
[ 3335.165399] name: gnome-session-b, pid: [904], state: 1
[ 3335.165401] name: gnome-shell, pid: [910], state: 1
[ 3335.165403] name: Xwayland, pid: [930], state: 1
[ 3335.165405] name: ibus-daemon, pid: [957], state: 1
[ 3335.165407] name: ibus-dconf, pid: [960], state: 1
[ 3335.165410] name: ibus-engine-sim, pid: [1039], state: 1
[ 3335.165412] name: gsd-xsettings, pid: [982], state: 1
[ 3335.165414] name: gsd-a11y-settin, pid: [988], state: 1
[ 3335.165417] name: gsd-clipboard, pid: [992], state: 1
[ 3335.165419] name: gsd-color, pid: [995], state: 1
[ 3335.165421] name: gsd-datetime, pid: [996], state: 1
[ 3335.165423] name: gsd-housekeepin, pid: [998], state: 1
[ 3335.165425] name: gsd-keyboard, pid: [1000], state: 1
[ 3335.165427] name: gsd-media-keys, pid: [1004], state: 1
[ 3335.165429] name: gsd-mouse, pid: [1005], state: 1
[ 3335.165431] name: gsd-power, pid: [1006], state: 1
[ 3335.165433] name: gsd-print-notif, pid: [1011], state: 1
[ 3335.165435] name: gsd-rfkill, pid: [1012], state: 1
[ 3335.165437] name: gsd-screensaver, pid: [1013], state: 1
[ 3335.165439] name: gsd-sharing, pid: [1016], state: 1
[ 3335.165441] name: gsd-smartcard, pid: [1021], state: 1
[ 3335.165443] name: gsd-sound, pid: [1026], state: 1
[ 3335.165445] name: gsd-wacom, pid: [1029], state: 1
[ 3335.165448] name: gdm-session-wor, pid: [1086], state: 1
[ 3335.165450] name: gdm-x-session, pid: [1107], state: 1
[ 3335.165452] name: Xorg, pid: [1109], state: 1
[ 3335.165454] name: gnome-session-b, pid: [1120], state: 1
[ 3335.165456] name: ssh-agent, pid: [1197], state: 1
[ 3335.165458] name: gnome-shell, pid: [1224], state: 1
[ 3335.165460] name: ibus-daemon, pid: [1256], state: 1
[ 3335.165463] name: ibus-dconf, pid: [1260], state: 1
[ 3335.165465] name: ibus-engine-sim, pid: [1466], state: 1
[ 3335.165467] name: gsd-mouse, pid: [1333], state: 1
[ 3335.165469] name: gsd-power, pid: [1334], state: 1
[ 3335.165471] name: gsd-print-notif, pid: [1336], state: 1
[ 3335.165473] name: gsd-rfkill, pid: [1338], state: 1
[ 3335.165475] name: gsd-screensaver, pid: [1340], state: 1
[ 3335.165477] name: gsd-sharing, pid: [1341], state: 1
[ 3335.165479] name: gsd-smartcard, pid: [1343], state: 1
[ 3335.165481] name: gsd-sound, pid: [1348], state: 1
[ 3335.165483] name: gsd-wacom, pid: [1350], state: 1
[ 3335.165486] name: gsd-xsettings, pid: [1355], state: 1
[ 3335.165488] name: gsd-a11y-settin, pid: [1365], state: 1
[ 3335.165490] name: gsd-color, pid: [1377], state: 1
[ 3335.165492] name: gsd-datetime, pid: [1378], state: 1
[ 3335.165494] name: gsd-clipboard, pid: [1379], state: 1
[ 3335.165496] name: gsd-keyboard, pid: [1380], state: 1
[ 3335.165500] name: gsd-media-keys, pid: [1381], state: 1
[ 3335.165503] name: gsd-housekeepin, pid: [1382], state: 1
[ 3335.165505] name: nautilus-deskto, pid: [1431], state: 1
[ 3335.165507] name: gnome-software, pid: [1436], state: 1
[ 3335.165509] name: gsd-disk-utilit, pid: [1441], state: 1
[ 3335.165511] name: update-notifier, pid: [1624], state: 1
[ 3335.165513] name: deja-dup-monito, pid: [2104], state: 1
[ 3335.165516] name: whoopsie, pid: [829], state: 1
[ 3335.165518] name: kerneloops, pid: [840], state: 1
[ 3335.165520] name: kerneloops, pid: [846], state: 1
[ 3335.165522] name: systemd, pid: [887], state: 1
[ 3335.165524] name: (sd-pam), pid: [888], state: 1
[ 3335.165526] name: dbus-daemon, pid: [902], state: 1
[ 3335.165528] name: at-spi-bus-laun, pid: [933], state: 1
[ 3335.165530] name: dbus-daemon, pid: [938], state: 1
[ 3335.165532] name: at-spi2-registr, pid: [940], state: 1
[ 3335.165535] name: pulseaudio, pid: [943], state: 1
[ 3335.165537] name: ibus-portal, pid: [967], state: 1
[ 3335.165540] name: upowerd, pid: [917], state: 1
[ 3335.165543] name: rtkit-daemon, pid: [945], state: 1
[ 3335.165545] name: ibus-x11, pid: [964], state: 1
[ 3335.165548] name: boltd, pid: [980], state: 1
[ 3335.165550] name: packagekitd, pid: [981], state: 1
[ 3335.165554] name: colord, pid: [1069], state: 1
[ 3335.165557] name: systemd, pid: [1089], state: 1
[ 3335.165560] name: (sd-pam), pid: [1090], state: 1
[ 3335.165563] name: dbus-daemon, pid: [1116], state: 1
[ 3335.165566] name: at-spi-bus-laun, pid: [1199], state: 1
[ 3335.165569] name: dbus-daemon, pid: [1204], state: 1
[ 3335.165571] name: at-spi2-registr, pid: [1207], state: 1
[ 3335.165573] name: gvfsd, pid: [1230], state: 1
[ 3335.165575] name: gvfsd-trash, pid: [1476], state: 1
[ 3335.165578] name: gvfsd-fuse, pid: [1235], state: 1
[ 3335.165580] name: ibus-portal, pid: [1265], state: 1
[ 3335.165582] name: evolution-sourc, pid: [1282], state: 1
[ 3335.165584] name: dconf-service, pid: [1288], state: 1
[ 3335.165586] name: gvfs-udisks2-vo, pid: [1291], state: 1
[ 3335.165589] name: gvfs-gphoto2-vo, pid: [1298], state: 1
[ 3335.165590] name: gvfs-afc-volume, pid: [1302], state: 1
[ 3335.165592] name: gvfs-mtp-volume, pid: [1307], state: 1
[ 3335.165595] name: gvfs-goa-volume, pid: [1311], state: 1
[ 3335.165597] name: gnome-shell-cal, pid: [1275], state: 1
[ 3335.165599] name: goa-daemon, pid: [1315], state: 1
[ 3335.165601] name: goa-identity-se, pid: [1327], state: 1
[ 3335.165603] name: evolution-calen, pid: [1456], state: 1
[ 3335.165605] name: evolution-calen, pid: [1510], state: 1
[ 3335.165607] name: evolution-addre, pid: [1523], state: 1
[ 3335.165609] name: evolution-addre, pid: [1532], state: 1
[ 3335.165611] name: gvfsd-metadata, pid: [1546], state: 1
[ 3335.165613] name: nautilus, pid: [1582], state: 1
[ 3335.165615] name: zeitgeist-daemo, pid: [1640], state: 1
[ 3335.165618] name: zeitgeist-fts, pid: [1648], state: 1
[ 3335.165620] name: eog, pid: [3685], state: 1
[ 3335.165623] name: evince, pid: [3737], state: 1
[ 3335.165625] name: evinced, pid: [3743], state: 1
[ 3335.165627] name: sublime_text, pid: [4418], state: 1
[ 3335.165629] name: plugin_host, pid: [4431], state: 1
[ 3335.165631] name: gnome-terminal-, pid: [4744], state: 1
[ 3335.165633] name: bash, pid: [4752], state: 1
[ 3335.165635] name: sudo, pid: [5287], state: 1
[ 3335.165637] name: insmod, pid: [5288], state: 0
[ 3335.165639] name: gnome-keyring-d, pid: [1103], state: 1
[ 3335.165642] name: pulseaudio, pid: [1246], state: 1
[ 3335.165643] name: ibus-x11, pid: [1262], state: 1
[ 3335.165646] name: gsd-printer, pid: [1401], state: 1
[ 3335.165648] name: vmtoolsd, pid: [1432], state: 1
[ 3335.165650] name: fwupd, pid: [1552], state: 1
[ 3335.165652] name: cupsd, pid: [4676], state: 1
[ 3335.165654] name: dbus, pid: [4686], state: 1
[ 3335.165656] name: cups-browsed, pid: [4677], state: 1
[ 3335.165658] name: kthreadd, pid: [2], state: 1
[ 3335.165661] name: kworker/0:0H, pid: [4], state: 1026
[ 3335.165717] name: mm_percpu_wq, pid: [6], state: 1026
[ 3335.165722] name: ksoftirqd/0, pid: [7], state: 1
[ 3335.165724] name: rcu_sched, pid: [8], state: 1026
[ 3335.165726] name: rcu_bh, pid: [9], state: 1026
[ 3335.165728] name: migration/0, pid: [10], state: 1
